total_bill,tip,sex,smoker,day,time,size
11.17,1.5,Female,No,Thur,Lunch,2
16.27,2.5,Female,Yes,Fri,Lunch,2
35.83,4.67,Female,No,Sat,Dinner,3
24.08,2.92,Female,No,Thur,Lunch,4
10.33,2.0,Female,No,Thur,Lunch,2
16.45,2.47,Female,No,Sat,Dinner,2
11.59,1.5,Male,Yes,Sat,Dinner,2
19.77,2.0,Male,No,Sun,Dinner,4
10.59,1.61,Female,Yes,Sat,Dinner,2
22.12,2.88,Female,Yes,Sat,Dinner,2
10.77,1.47,Male,No,Sat,Dinner,2
48.17,5.0,Male,No,Sun,Dinner,6
10.65,1.5,Female,No,Thur,Lunch,2
15.98,2.03,Male,No,Thur,Lunch,2
29.8,4.2,Female,No,Thur,Lunch,6
31.71,4.5,Male,No,Sun,Dinner,4
11.095,2.1675,other,other,Mon,BreakFast,5
14.31,4.0,Female,Yes,Sat,Dinner,2
7.25,5.15,Male,Yes,Sun,Dinner,2
15.53,3.0,Male,Yes,Sat,Dinner,2
25.28,5.0,Female,Yes,Sat,Dinner,2
13.39,2.61,Female,No,Sun,Dinner,2
17.31,3.5,Female,No,Sun,Dinner,2
10.51,1.25,Male,No,Sat,Dinner,2
32.83,1.17,Male,Yes,Sat,Dinner,2
10.07,1.83,Female,No,Thur,Lunch,1
19.65,3.0,Female,No,Sat,Dinner,2
8.52,1.48,Male,No,Thur,Lunch,2
17.29,2.71,Male,No,Thur,Lunch,2
13.03,2.0,Male,No,Thur,Lunch,2
,4.71,Male,No,Sun,Dinner,4
38.01,3.0,Male,Yes,Sat,Dinner,4
20.9,3.5,Female,Yes,Sun,Dinner,3
15.69,3.0,Male,Yes,Sat,Dinner,3
50.81,10.0,Male,Yes,Sat,Dinner,3
20.08,3.15,Male,No,Sat,Dinner,3
17.47,3.5,Female,No,Thur,Lunch,2
12.48,2.52,Female,No,Thur,Lunch,2
13.27,2.5,Female,Yes,Sat,Dinner,2
9.78,1.73,Male,No,Thur,Lunch,2
18.35,2.5,Male,No,Sat,Dinner,4
15.42,1.57,Male,No,Sun,Dinner,2
24.06,3.6,Male,No,Sat,Dinner,3
21.7,4.3,Male,No,Sat,Dinner,2
13.94,3.06,Male,No,Sun,Dinner,2
7.74,1.44,Male,Yes,Sat,Dinner,2
15.77,2.23,Female,No,Sat,Dinner,2
16.32,4.3,Female,Yes,Fri,Dinner,2
48.33,9.0,Male,No,Sat,Dinner,4
15.38,3.0,Female,Yes,Fri,Dinner,2
10.29,2.6,Female,No,Sun,Dinner,2
40.17,4.73,Male,Yes,Fri,Dinner,4
27.05,5.0,Female,No,Thur,Lunch,6
13.51,2.0,Male,Yes,Thur,Lunch,2
17.92,3.08,Male,Yes,Sat,Dinner,2
17.46,2.54,Male,No,Sun,Dinner,2
23.95,2.55,Male,No,Sun,Dinner,2
17.26,2.74,Male,No,Sun,Dinner,3
22.76,3.0,Male,No,Thur,Lunch,2
11.87,1.63,Female,No,Thur,Lunch,2
13.37,2.0,Male,No,Sat,Dinner,2
22.67,2.0,Male,Yes,Sat,Dinner,2
17.51,3.0,Female,Yes,Sun,Dinner,2
18.78,3.0,Female,No,Thur,Dinner,2
14.15,2.0,Female,No,Thur,Lunch,2
16.99,1.01,Female,No,Sun,Dinner,2
21.01,3.5,Male,No,Sun,Dinner,3
27.2,4.0,Male,No,Thur,Lunch,4
22.23,5.0,Male,No,Sun,Dinner,2
11.35,2.5,Female,Yes,Fri,Dinner,2
14.52,2.0,Female,No,Thur,Lunch,2
14.07,2.5,Male,No,Sun,Dinner,2
2.08,1.71,other,other,Mon,BreakFast,4
28.97,3.0,Male,Yes,Fri,Dinner,2
34.83,5.17,Female,No,Thur,Lunch,4
32.9,3.11,Male,Yes,Sun,Dinner,2
7.56,1.44,Male,No,Thur,Lunch,2
21.01,3.0,Male,Yes,Fri,Dinner,2
16.31,2.0,Male,No,Sat,Dinner,3
13.81,2.0,Male,Yes,Sat,Dinner,2
16.21,2.0,Female,No,Sun,Dinner,3
13.16,2.75,Female,No,Thur,Lunch,2
35.26,5.0,Female,No,Sun,Dinner,4
14.1,2.32,other,other,Mon,BreakFast,4
13.0,2.0,Female,Yes,Thur,Lunch,2
12.69,2.0,Male,No,Sat,Dinner,2
29.85,5.14,Female,No,Sun,Dinner,5
24.59,3.61,Female,No,Sun,Dinner,4
14.26,2.5,Male,No,Thur,Lunch,2
15.06,3.0,Female,No,Sat,Dinner,2
16.43,2.3,Female,No,Thur,Lunch,2
9.6,4.0,Female,Yes,Sun,Dinner,2
16.0,2.0,Male,Yes,Thur,Lunch,2
11.02,1.98,Male,Yes,Sat,Dinner,2
8.51,1.25,Female,No,Thur,Lunch,2
11.38,2.0,Female,No,Thur,Lunch,2
10.09,2.0,Female,Yes,Fri,Lunch,2
16.47,3.23,Female,Yes,Thur,Lunch,3
12.02,1.97,Male,No,Sat,Dinner,2
28.44,2.56,Male,Yes,Thur,Lunch,2
17.59,2.64,Male,No,Sat,Dinner,3
30.4,5.6,Male,No,Sun,Dinner,4
24.52,3.48,Male,No,Sun,Dinner,3
16.04,2.24,Male,No,Sat,Dinner,3
15.95,2.0,Male,No,Thur,Lunch,2
24.55,2.0,Male,No,Sun,Dinner,4
39.42,7.58,Male,No,Sat,Dinner,4
25.89,5.16,Male,Yes,Sat,Dinner,4
23.17,6.5,Male,Yes,Sun,Dinner,4
16.66,3.4,Male,No,Thur,Lunch,2
31.27,5.0,Male,No,Sat,Dinner,3
12.76,2.23,Female,Yes,Sat,Dinner,2
32.4,6.0,Male,No,Sun,Dinner,4
22.75,3.25,Female,No,Fri,Dinner,2
15.69,1.5,Male,Yes,Sun,Dinner,2
12.66,2.5,Male,No,Sun,Dinner,2
9.68,1.32,Male,No,Sun,Dinner,2
8.35,1.5,Female,No,Thur,Lunch,2
45.35,3.5,Male,Yes,Sun,Dinner,3
23.68,3.31,Male,No,Sun,Dinner,2
15.36,1.64,Male,Yes,Sat,Dinner,2
9.94,1.56,Male,No,Sun,Dinner,2
12.26,2.0,Female,No,Thur,Lunch,2
20.45,3.0,Male,No,Sat,Dinner,4
15.48,2.02,Male,Yes,Thur,Lunch,2
11.61,3.39,Male,No,Sat,Dinner,2
18.04,3.0,Male,No,Sun,Dinner,2
13.81,2.0,Male,No,Sun,Dinner,2
19.44,3.0,Male,Yes,Thur,Lunch,2
17.78,3.27,Male,No,Sat,Dinner,2
26.59,3.41,Male,Yes,Sat,Dinner,3
26.88,3.12,Male,No,Sun,Dinner,4
15.81,3.16,Male,Yes,Sat,Dinner,2
14.0,3.0,Male,No,Sat,Dinner,2
22.49,3.5,Male,No,Fri,Dinner,2
32.68,5.0,Male,Yes,Thur,Lunch,2
15.98,3.0,Female,No,Fri,Lunch,3
13.28,2.72,Male,No,Sat,Dinner,2
21.16,3.0,Male,No,Thur,Lunch,2
15.04,1.96,Male,No,Sun,Dinner,2
18.43,3.0,Male,No,Sun,Dinner,4
48.27,6.73,Male,No,Sat,Dinner,4
12.9,1.1,Female,Yes,Sat,Dinner,2
20.27,2.83,Female,No,Thur,Lunch,2
16.29,3.71,Male,No,Sun,Dinner,3
20.76,2.24,Male,No,Sun,Dinner,2
26.86,3.14,Female,Yes,Sat,Dinner,2
12.16,2.2,Male,Yes,Fri,Lunch,2
18.26,3.25,Female,No,Thur,Lunch,2
20.53,4.0,Male,Yes,Thur,Lunch,4
24.01,2.0,Male,Yes,Sat,Dinner,4
18.29,3.76,Male,Yes,Sat,Dinner,4
25.56,4.34,Male,No,Sun,Dinner,4
25.21,4.29,Male,Yes,Sat,Dinner,2
12.54,2.5,Male,No,Sun,Dinner,2
29.03,5.92,Male,No,Sat,Dinner,3
16.82,4.0,Male,Yes,Sun,Dinner,2
24.27,2.03,Male,Yes,Sat,Dinner,2
23.1,4.0,Male,Yes,Sun,Dinner,3
8.09,2.015,other,other,Mon,BreakFast,6
38.73,3.0,Male,Yes,Sat,Dinner,4
13.42,3.48,Female,Yes,Fri,Lunch,2
10.63,2.0,Female,Yes,Sat,Dinner,2
11.24,1.76,Male,Yes,Sat,Dinner,2
28.55,2.05,Male,No,Sun,Dinner,3
24.71,5.85,Male,No,Thur,Lunch,2
20.29,2.75,Female,No,Sat,Dinner,2
26.41,1.5,Female,No,Sat,Dinner,2
16.4,2.5,Female,Yes,Thur,Lunch,2
21.5,3.5,Male,No,Sun,Dinner,4
17.82,1.75,Male,No,Sat,Dinner,2
30.46,2.0,Male,Yes,Sun,Dinner,5
19.81,4.19,Female,Yes,Thur,Lunch,2
22.82,2.18,Male,No,Thur,Lunch,3
16.93,3.07,Female,No,Sat,Dinner,3
25.0,3.75,Female,No,Sun,Dinner,4
10.07,1.25,Male,No,Sat,Dinner,2
10.34,1.66,Male,No,Sun,Dinner,3
34.81,5.2,Female,No,Sun,Dinner,4
7.51,2.0,Male,No,Thur,Lunch,2
19.08,1.5,Male,No,Thur,Lunch,2
13.13,2.0,Male,No,Sun,Dinner,2
22.42,3.48,Female,Yes,Sat,Dinner,2
12.46,1.5,Male,No,Fri,Dinner,2
29.93,5.07,Male,No,Sun,Dinner,4
18.28,4.0,Male,No,Thur,Lunch,2
13.0,2.0,Female,Yes,Thur,Lunch,2
14.73,2.2,Female,No,Sat,Dinner,2
28.17,6.5,Female,Yes,Sat,Dinner,3
30.06,2.0,Male,Yes,Sat,Dinner,3
13.42,1.68,Female,No,Thur,Lunch,2
-0.925,1.5575,other,other,Mon,BreakFast,3
,4.08,Male,No,Sat,Dinner,2
18.15,3.5,Female,Yes,Sun,Dinner,3
17.07,3.0,Female,No,Sat,Dinner,3
20.49,4.06,Male,Yes,Sat,Dinner,2
14.83,,Female,No,Sun,Dinner,2
5.75,1.0,Female,Yes,Fri,Dinner,2
34.63,3.55,Male,Yes,Sun,Dinner,2
44.3,2.5,Female,Yes,Sat,Dinner,3
